1550268085,mechanical,kg2084,I'll make it 
1550268090,mechanical,kg2084,Is this for filming drone?
1550268579,mechanical,kg2084,<@UFVLNS4JV> what is email
1550268613,mechanical,kg2084,<@UDVBM7LEP> hobbyking has nice battery sale <https://hobbyking.com/en_us/us-presidents-day-battery-sale.html?utm_source=browser&amp;utm_medium=push_notification&amp;utm_campaign=PushCrew_notification_150219presidentssale_US&amp;_p_c=1>
1550268618,mechanical,kg2084,tell me if  theres anything u want
1550269366,mechanical,kg2084,<@UFVLNS4JV> i just shared with u
1550271386,mechanical,kg2084,well yeah
1550271878,mechanical,kg2084,lol
1550292491,mechanical,kg2084,yea
1550292493,mechanical,kg2084,me too
1550292552,mechanical,kg2084,bottom
1550292568,mechanical,kg2084,does it need to?
1550292576,mechanical,kg2084,hmm maybe the front then
1550292579,mechanical,kg2084,we can counterweight with battery
1550292609,mechanical,kg2084,no
1550292611,mechanical,kg2084,not really
1550292615,mechanical,kg2084,as long as we balance it
1550292634,mechanical,kg2084,err
1550292637,mechanical,kg2084,750 max
1550292665,mechanical,kg2084,yes
1550292687,mechanical,kg2084,eh
1550292692,mechanical,kg2084,32w
1550292692,mechanical,kg2084,2
1550292711,mechanical,kg2084,?
1550292717,mechanical,kg2084,we just put at other side
1550292721,mechanical,kg2084,and move as needed
1550292742,mechanical,kg2084,we need a balancing device tho
1550292759,mechanical,kg2084,no like we need the right place to balance it
1550292773,mechanical,kg2084,yes
1550292779,mechanical,kg2084,dont just buy them
1550292783,mechanical,kg2084,bc u need weight
1550292806,mechanical,kg2084,hmm
1550292813,mechanical,kg2084,what u mean
1550292815,mechanical,kg2084,stabilize it
1550292821,mechanical,kg2084,doesnt it do the stablilizing
1550292852,mechanical,kg2084,we arent putting it on a motorized arm?
1550292854,mechanical,kg2084,wtf
1550292858,mechanical,kg2084,wehre did u get this idea
1550292892,mechanical,kg2084,um
1550292894,mechanical,kg2084,gimbal?
1550292915,mechanical,kg2084,
1550292916,mechanical,kg2084,like this
1550292918,mechanical,kg2084,but with a better camera
1550292929,mechanical,kg2084,we are probably gonna buy it
1550292952,mechanical,kg2084,also that entire apparatus will be connected with vibration dampeners
1550292972,mechanical,kg2084,eh no more than 50 bucks
1550292987,mechanical,kg2084,well therse one for 32
1550292999,mechanical,kg2084,also if the entire drone tilts forward then the camera tilts up
1550295433,mechanical,kg2084,"ye was thinking sorta""1550295448",mechanical,kg2084,i think its good to have the arms at an angle like that
1550299900,mechanical,kg2084,eh dont do that
1550340048,mechanical,kg2084,yeah vincent
1550340051,mechanical,kg2084,we are putting a camera on it
1550340058,mechanical,kg2084,thats probably upwards of 2lb
1550340077,mechanical,kg2084,fpv cam is 144p
1550340115,mechanical,kg2084,probably
1550340122,mechanical,kg2084,isnt this drone being made for taking pictures
1550340127,mechanical,kg2084,thats the entire point of it
1550340177,mechanical,kg2084,also we are putting a gimbal on it most likely
1550340191,mechanical,kg2084,eh
1550340195,mechanical,kg2084,no more than 50-60
1550340813,mechanical,kg2084,track?
1550340824,mechanical,kg2084,probably
1550340832,mechanical,kg2084,we will hook up another transmitter for camera operator
1550340834,mechanical,kg2084,if we need
1550341305,mechanical,kg2084,frank
1550341309,mechanical,kg2084,thats the entire point of a gimbal
1550341313,mechanical,kg2084,to stabilize and control
1550341358,mechanical,kg2084,well yeah
1550341369,mechanical,kg2084,we probably dont even need a gimbal for that
1550341784,mechanical,kg2084,lets see
1550341803,mechanical,kg2084,its good
1550341811,mechanical,kg2084,other than its not for drones and backordered
1550341819,mechanical,kg2084,this is more for plane
1550341844,mechanical,kg2084,but thats 65 bucks of motor
1550341848,mechanical,kg2084,without esc
1550341878,mechanical,kg2084,also find a motor that runs 4s
1550341885,mechanical,kg2084,so we can use batteries we have
1550341915,mechanical,kg2084,yeah
1550341921,mechanical,kg2084,but they pack a good punch
1550341934,mechanical,kg2084,i mean are we looking for a tiny drone?
1550341964,mechanical,kg2084,found one
1550341964,mechanical,kg2084,<https://hobbyking.com/en_us/be1806p-2300kv-purple-color-with-purple-nylon-nut-cw.html>
